Athletics,969,1072
Beach Volleyball,48,48
Handball,168,168
Modern Pentathlon,36,36
Tennis,94,97
Golf,60,60
Trampoline Gymnastics,16,16
Cycling Road,70,131
Artistic Swimming,105,0
Surfing,20,20
Basketball,144,144
Canoe Sprint,123,126
Cycling Mountain Bike,38,38
Equestrian,73,125
Swimming,361,418
Volleyball,144,144
Cycling BMX Racing,24,24
Judo,192,201
Water Polo,122,146
3x3 Basketball,32,32
Artistic Gymnastics,98,98
Badminton,86,87
Cycling BMX Freestyle,10,9
Triathlon,55,55
Archery,64,64
Boxing,102,187
Rhythmic Gymnastics,96,0
Rowing,257,265
Baseball/Softball,90,144
Cycling Track,90,99
Shooting,178,178
Sport Climbing,20,20
Table Tennis,86,86
Diving,72,71
Fencing,107,108
Hockey,192,192
Wrestling,96,193
Sailing,175,175
Weightlifting,98,99
Karate,40,42
Marathon Swimming,25,25
Taekwondo,65,65
Canoe Slalom,41,41
Football,264,344
Rugby Sevens,146,151
Skateboarding,40,40
