Athletics,969,1072,103
Beach Volleyball,48,48,0
Handball,168,168,0
Modern Pentathlon,36,36,0
Tennis,94,97,3
Golf,60,60,0
Trampoline Gymnastics,16,16,0
Cycling Road,70,131,61
Artistic Swimming,105,0,-105
Surfing,20,20,0
Basketball,144,144,0
Canoe Sprint,123,126,3
Cycling Mountain Bike,38,38,0
Equestrian,73,125,52
Swimming,361,418,57
Volleyball,144,144,0
Cycling BMX Racing,24,24,0
Judo,192,201,9
Water Polo,122,146,24
3x3 Basketball,32,32,0
Artistic Gymnastics,98,98,0
Badminton,86,87,1
Cycling BMX Freestyle,10,9,-1
Triathlon,55,55,0
Archery,64,64,0
Boxing,102,187,85
Rhythmic Gymnastics,96,0,-96
Rowing,257,265,8
Baseball/Softball,90,144,54
Cycling Track,90,99,9
Shooting,178,178,0
Sport Climbing,20,20,0
Table Tennis,86,86,0
Diving,72,71,-1
Fencing,107,108,1
Hockey,192,192,0
Wrestling,96,193,97
Sailing,175,175,0
Weightlifting,98,99,1
Karate,40,42,2
Marathon Swimming,25,25,0
Taekwondo,65,65,0
Canoe Slalom,41,41,0
Football,264,344,80
Rugby Sevens,146,151,5
Skateboarding,40,40,0
