Handball,343
Athletics,2068
Beach Volleyball,90
Tennis,178
Modern Pentathlon,69
Trampoline Gymnastics,31
Golf,115
Cycling Road,190
Artistic Swimming,98
Surfing,38
Basketball,280
Swimming,743
Canoe Sprint,236
Volleyball,274
Equestrian,237
Cycling Mountain Bike,74
Judo,373
Water Polo,269
Cycling BMX Racing,43
Artistic Gymnastics,187
3x3 Basketball,62
Badminton,164
Triathlon,106
Cycling BMX Freestyle,19
Rowing,496
Rhythmic Gymnastics,95
Boxing,270
Archery,122
Baseball/Softball,220
Shooting,342
Table Tennis,164
Cycling Track,208
Sport Climbing,37
Wrestling,279
Fencing,249
Diving,133
Hockey,406
Weightlifting,187
Sailing,336
Karate,77
Taekwondo,123
Marathon Swimming,49
Canoe Slalom,78
Football,567
Rugby Sevens,283
Skateboarding,77
